displayName,username,sent,repo,number
Adrian Cole,adriancole,2015-07-16T18:13:34.546Z,openzipkin/zipkin,462
Adrian Cole,adriancole,2015-07-16T23:21:03.821Z,openzipkin/zipkin,464
Adrian Cole,adriancole,2015-07-17T18:35:43.060Z,openzipkin/zipkin,473
Zoltán Nagy,abesto,2015-07-18T21:24:06.991Z,openzipkin/zipkin,475
Adrian Cole,adriancole,2015-07-19T07:10:17.468Z,openzipkin/zipkin,476
Zoltán Nagy,abesto,2015-07-19T10:56:37.506Z,openzipkin/zipkin,478
Eirik Sletteberg,eirslett,2015-07-19T22:00:26.415Z,openzipkin/zipkin,479
Adrian Cole,adriancole,2015-07-20T04:51:18.770Z,openzipkin/zipkin,480
Adrian Cole,adriancole,2015-07-20T17:01:51.281Z,openzipkin/zipkin,476
Adrian Cole,adriancole,2015-07-20T22:14:32.237Z,openzipkin/zipkin,484
Adrian Cole,adriancole,2015-07-20T23:12:42.711Z,openzipkin/zipkin,484
James Way,jamescway,2015-07-21T00:14:34.819Z,openzipkin/zipkin,194
Adrian Cole,adriancole,2015-07-21T21:10:20.150Z,openzipkin/zipkin,486
Adrian Cole,adriancole,2015-07-22T00:14:20.628Z,openzipkin/zipkin,488
Adrian Cole,adriancole,2015-07-22T19:13:39.929Z,openzipkin/zipkin,487
Adrian Cole,adriancole,2015-07-22T19:33:48.686Z,openzipkin/zipkin,492
Adrian Cole,adriancole,2015-07-22T19:36:08.144Z,openzipkin/zipkin,493
Adrian Cole,adriancole,2015-07-23T04:36:32.518Z,openzipkin/zipkin,494
Adrian Cole,adriancole,2015-07-23T14:25:50.559Z,openzipkin/zipkin,494
Adrian Cole,adriancole,2015-07-23T17:17:05.929Z,openzipkin/zipkin,497
Zoltán Nagy,abesto,2015-07-24T10:22:36.908Z,openzipkin/zipkin,503
Adrian Cole,adriancole,2015-07-24T15:47:30.034Z,openzipkin/zipkin,497
Adrian Cole,adriancole,2015-07-24T17:16:18.442Z,openzipkin/zipkin,496
Adrian Cole,adriancole,2015-07-24T18:22:16.214Z,openzipkin/zipkin,504
Zoltán Nagy,abesto,2015-07-26T12:58:13.238Z,openzipkin/zipkin,503
Dave Syer,dsyer,2015-07-27T13:06:39.511Z,openzipkin/zipkin,506
James Way,jamescway,2015-07-27T21:39:38.266Z,openzipkin/zipkin,501
Zoltán Nagy,abesto,2015-07-28T18:12:24.940Z,openzipkin/zipkin,503
Adrian Cole,adriancole,2015-07-28T19:03:37.326Z,openzipkin/zipkin,507
Zoltán Nagy,abesto,2015-07-28T19:07:39.544Z,openzipkin/zipkin,503
Adrian Cole,adriancole,2015-07-28T19:34:11.552Z,openzipkin/zipkin,508
Adrian Cole,adriancole,2015-07-28T20:01:56.542Z,openzipkin/zipkin,508
Adrian Cole,adriancole,2015-07-28T20:56:38.695Z,openzipkin/zipkin,510
James Way,jamescway,2015-07-28T21:03:01.041Z,openzipkin/zipkin,501
Adrian Cole,adriancole,2015-07-28T22:31:31.609Z,openzipkin/zipkin,511
Adrian Cole,adriancole,2015-07-28T23:53:46.803Z,openzipkin/zipkin,512
Adrian Cole,adriancole,2015-07-29T15:58:41.737Z,openzipkin/zipkin,515
Dave Syer,dsyer,2015-07-30T11:11:00.943Z,openzipkin/zipkin,524
Zoltán Nagy,abesto,2015-07-30T12:26:11.009Z,openzipkin/zipkin,520
Zoltán Nagy,abesto,2015-07-31T17:16:32.716Z,openzipkin/zipkin,538
James Way,jamescway,2015-08-04T17:32:40.218Z,openzipkin/zipkin,541
James Way,jamescway,2015-08-05T08:01:28.253Z,openzipkin/zipkin,541
gneokleo,gneokleo,2015-08-05T19:28:21.596Z,openzipkin/zipkin,545
gneokleo,gneokleo,2015-08-06T21:03:28.766Z,openzipkin/zipkin,551
James Way,jamescway,2015-08-07T19:53:25.868Z,openzipkin/zipkin,553
James Way,jamescway,2015-08-07T21:50:03.568Z,openzipkin/zipkin,557
James Way,jamescway,2015-08-08T06:13:11.802Z,openzipkin/zipkin,560
Zoltán Nagy,abesto,2015-08-08T08:13:02.211Z,openzipkin/zipkin,561
James Way,jamescway,2015-08-10T15:32:35.066Z,openzipkin/zipkin,566
Zoltán Nagy,abesto,2015-08-11T15:31:40.308Z,openzipkin/zipkin,572
Zoltán Nagy,abesto,2015-08-11T16:28:39.058Z,openzipkin/zipkin,573
Zoltán Nagy,abesto,2015-08-11T17:32:16.621Z,openzipkin/zipkin,575
Zoltán Nagy,abesto,2015-08-11T18:18:57.944Z,openzipkin/zipkin,576
Zoltán Nagy,abesto,2015-08-11T19:27:25.011Z,openzipkin/zipkin,579
James Way,jamescway,2015-08-11T23:56:39.882Z,openzipkin/zipkin,582
Adrian Cole,adriancole,2015-08-13T02:46:39.348Z,openzipkin/zipkin,593
Zoltán Nagy,abesto,2015-08-13T18:34:33.725Z,openzipkin/zipkin,601
James Way,jamescway,2015-08-14T06:12:43.305Z,openzipkin/zipkin,607
Zoltán Nagy,abesto,2015-08-15T06:57:20.326Z,openzipkin/zipkin,610
Adrian Cole,adriancole,2015-08-18T23:19:26.631Z,openzipkin/zipkin,599
James Way,jamescway,2015-08-20T18:10:45.043Z,openzipkin/zipkin,639
Adrian Cole,adriancole,2015-08-21T14:28:46.079Z,openzipkin/zipkin,646
James Way,jamescway,2015-08-21T16:35:50.290Z,openzipkin/zipkin,650
Adrian Cole,adriancole,2015-08-22T03:04:45.098Z,openzipkin/zipkin,652
Wade Simmons,wadey,2015-08-24T22:47:52.667Z,openzipkin/zipkin,659
Adrian Cole,adriancole,2015-08-29T16:54:09.410Z,openzipkin/zipkin,668
Adrian Cole,adriancole,2015-09-03T13:55:31.202Z,openzipkin/zipkin,685
Adrian Cole,adriancole,2015-09-03T16:15:42.843Z,openzipkin/zipkin,682
Adrian Cole,adriancole,2015-09-03T16:20:49.781Z,openzipkin/zipkin,687
Adrian Cole,adriancole,2015-09-03T19:29:24.814Z,openzipkin/zipkin,689
Adrian Cole,adriancole,2015-09-03T21:35:37.914Z,openzipkin/zipkin,690
Adrian Cole,adriancole,2015-09-03T23:51:11.109Z,openzipkin/zipkin,655
Adrian Cole,adriancole,2015-09-04T00:19:39.714Z,openzipkin/zipkin,691
Adrian Cole,adriancole,2015-09-04T01:08:38.097Z,openzipkin/zipkin,466
Adrian Cole,adriancole,2015-09-04T01:37:02.341Z,openzipkin/zipkin,691
Adrian Cole,adriancole,2015-09-04T04:08:49.449Z,openzipkin/zipkin,693
Adrian Cole,adriancole,2015-09-04T15:00:47.807Z,openzipkin/zipkin,694
Adrian Cole,adriancole,2015-09-06T20:46:07.045Z,openzipkin/zipkin,696
Adrian Cole,adriancole,2015-09-08T07:47:15.034Z,openzipkin/zipkin,699
Adrian Cole,adriancole,2015-09-08T16:35:35.717Z,openzipkin/zipkin,466
Adrian Cole,adriancole,2015-09-09T09:50:49.291Z,openzipkin/zipkin,682
Adrian Cole,adriancole,2015-09-09T21:20:16.277Z,openzipkin/zipkin,702
Adrian Cole,adriancole,2015-09-10T07:18:27.264Z,openzipkin/zipkin,702
Adrian Cole,adriancole,2015-09-10T15:29:35.541Z,openzipkin/zipkin,703
Adrian Cole,adriancole,2015-09-10T21:04:57.372Z,openzipkin/zipkin,682
Adrian Cole,adriancole,2015-09-14T06:55:18.702Z,openzipkin/zipkin,704
Li Yichao,liyichao,2015-09-14T10:22:27.441Z,openzipkin/zipkin,706
Adrian Cole,adriancole,2015-09-14T18:57:50.643Z,openzipkin/zipkin,707
Adrian Cole,adriancole,2015-09-14T19:06:08.105Z,openzipkin/zipkin,599
gneokleo,gneokleo,2015-09-14T20:08:41.949Z,openzipkin/zipkin,708
Adrian Cole,adriancole,2015-09-14T21:33:51.283Z,openzipkin/zipkin,710
Adrian Cole,adriancole,2015-09-15T22:59:43.867Z,openzipkin/zipkin,644
Adrian Cole,adriancole,2015-09-16T20:28:45.777Z,openzipkin/zipkin,715
Adrian Cole,adriancole,2015-09-17T14:53:55.060Z,openzipkin/zipkin,717
Adrian Cole,adriancole,2015-09-18T12:19:23.394Z,openzipkin/zipkin,717
Adrian Cole,adriancole,2015-09-19T14:44:03.918Z,openzipkin/zipkin,687
Adrian Cole,adriancole,2015-09-19T16:14:13.194Z,openzipkin/zipkin,718
Adrian Cole,adriancole,2015-09-21T19:01:46.257Z,openzipkin/zipkin,720
Adrian Cole,adriancole,2015-09-22T16:28:21.095Z,openzipkin/zipkin,722
Adrian Cole,adriancole,2015-09-23T15:40:05.084Z,openzipkin/zipkin,724
Yuri Shkuro,yurishkuro,2015-09-23T19:20:24.072Z,openzipkin/zipkin,725
Adrian Cole,adriancole,2015-09-23T20:03:55.130Z,openzipkin/zipkin,726
Adrian Cole,adriancole,2015-09-23T23:38:56.520Z,openzipkin/zipkin,599
Adrian Cole,adriancole,2015-09-25T06:38:37.822Z,openzipkin/zipkin,728
Adrian Cole,adriancole,2015-09-25T19:44:08.136Z,openzipkin/zipkin,729
Adrian Cole,adriancole,2015-09-25T23:49:03.145Z,openzipkin/zipkin,730
Adrian Cole,adriancole,2015-09-26T23:30:34.937Z,openzipkin/zipkin,733
Adrian Cole,adriancole,2015-09-27T00:44:46.050Z,openzipkin/zipkin,734
Adrian Cole,adriancole,2015-09-28T04:58:34.081Z,openzipkin/zipkin,728
Adrian Cole,adriancole,2015-09-29T15:48:26.281Z,openzipkin/zipkin,745
Adrian Cole,adriancole,2015-09-29T15:58:12.826Z,openzipkin/zipkin,743
Adrian Cole,adriancole,2015-09-29T16:46:23.603Z,openzipkin/zipkin,745
Adrian Cole,adriancole,2015-09-29T21:17:52.449Z,openzipkin/zipkin,747
Adrian Cole,adriancole,2015-09-30T14:48:57.984Z,openzipkin/zipkin,748
Adrian Cole,adriancole,2015-09-30T17:09:19.937Z,openzipkin/zipkin,749
Adrian Cole,adriancole,2015-09-30T18:12:02.292Z,openzipkin/zipkin,718
Adrian Cole,adriancole,2015-10-01T00:48:29.863Z,openzipkin/zipkin,751
Adrian Cole,adriancole,2015-10-01T15:12:20.533Z,openzipkin/zipkin,752
Adrian Cole,adriancole,2015-10-01T16:30:47.625Z,openzipkin/zipkin,754
Adrian Cole,adriancole,2015-10-01T23:14:50.049Z,openzipkin/zipkin,750
Adrian Cole,adriancole,2015-10-02T15:24:26.345Z,openzipkin/zipkin,755
Adrian Cole,adriancole,2015-10-02T21:47:44.577Z,openzipkin/zipkin,756
Adrian Cole,adriancole,2015-10-03T00:05:59.317Z,openzipkin/zipkin,757
Adrian Cole,adriancole,2015-10-03T17:04:39.311Z,openzipkin/zipkin,758
Adrian Cole,adriancole,2015-10-04T17:42:29.916Z,openzipkin/zipkin,759
Adrian Cole,adriancole,2015-10-07T05:28:43.439Z,openzipkin/zipkin,763
Adrian Cole,adriancole,2015-10-07T05:37:25.204Z,openzipkin/zipkin,762
Adrian Cole,adriancole,2015-10-10T20:52:55.422Z,openzipkin/zipkin,768
Adrian Cole,adriancole,2015-10-10T21:14:34.881Z,openzipkin/zipkin,769
Adrian Cole,adriancole,2015-10-12T15:12:37.990Z,openzipkin/zipkin,771
Adrian Cole,adriancole,2015-10-14T05:50:40.500Z,openzipkin/zipkin,760
Adrian Cole,adriancole,2015-10-14T15:30:45.060Z,openzipkin/zipkin,774
Adrian Cole,adriancole,2015-10-14T19:08:23.164Z,openzipkin/zipkin,775
Adrian Cole,adriancole,2015-10-16T04:36:41.767Z,openzipkin/zipkin,777
Adrian Cole,adriancole,2015-10-16T15:27:21.949Z,openzipkin/zipkin,769
Adrian Cole,adriancole,2015-10-16T22:12:15.313Z,openzipkin/zipkin,778
Adrian Cole,adriancole,2015-10-17T21:33:21.031Z,openzipkin/zipkin,780
Adrian Cole,adriancole,2015-10-20T23:40:22.309Z,openzipkin/zipkin,782
Adrian Cole,adriancole,2015-10-21T04:05:11.865Z,openzipkin/zipkin,784
Adrian Cole,adriancole,2015-10-21T05:42:12.823Z,openzipkin/zipkin,781
Adrian Cole,adriancole,2015-10-22T18:51:54.766Z,openzipkin/zipkin,788
Adrian Cole,adriancole,2015-10-22T20:07:03.603Z,openzipkin/zipkin,789
Adrian Cole,adriancole,2015-10-22T20:39:22.057Z,openzipkin/zipkin,786
Adrian Cole,adriancole,2015-10-22T20:40:29.226Z,openzipkin/zipkin,781
Adrian Cole,adriancole,2015-10-23T01:43:27.441Z,openzipkin/zipkin,790
Adrian Cole,adriancole,2015-10-24T17:49:26.121Z,openzipkin/zipkin,794
Adrian Cole,adriancole,2015-10-26T15:36:04.758Z,openzipkin/zipkin,795
Adrian Cole,adriancole,2015-10-26T16:11:32.949Z,openzipkin/zipkin,796
Adrian Cole,adriancole,2015-10-26T23:00:27.936Z,openzipkin/zipkin,708
Adrian Cole,adriancole,2015-10-26T23:29:56.374Z,openzipkin/zipkin,797
Adrian Cole,adriancole,2015-10-27T01:10:45.277Z,openzipkin/zipkin,797
Adrian Cole,adriancole,2015-10-28T22:58:44.226Z,openzipkin/zipkin,801
Adrian Cole,adriancole,2015-10-29T22:15:34.871Z,openzipkin/zipkin,802
Adrian Cole,adriancole,2015-10-30T16:15:44.690Z,openzipkin/zipkin,515
Yuri Shkuro,yurishkuro,2015-10-30T19:09:12.099Z,openzipkin/zipkin,804
Adrian Cole,adriancole,2015-10-30T22:26:22.707Z,openzipkin/zipkin,805
Adrian Cole,adriancole,2015-10-30T22:37:13.481Z,openzipkin/zipkin,806
Adrian Cole,adriancole,2015-11-01T16:33:39.894Z,openzipkin/zipkin,807
Adrian Cole,adriancole,2015-11-02T01:22:03.071Z,openzipkin/zipkin,808
Adrian Cole,adriancole,2015-11-03T16:20:34.183Z,openzipkin/zipkin,809
Adrian Cole,adriancole,2015-11-03T17:55:22.684Z,openzipkin/zipkin,810
Adrian Cole,adriancole,2015-11-03T20:27:06.880Z,openzipkin/zipkin,811
Zoltán Nagy,abesto,2015-11-04T16:37:24.735Z,openzipkin/zipkin,813
Adrian Cole,adriancole,2015-11-04T18:11:28.143Z,openzipkin/zipkin,814
Adrian Cole,adriancole,2015-11-05T18:43:01.119Z,openzipkin/zipkin,815
Adrian Cole,adriancole,2015-11-06T16:04:29.569Z,openzipkin/zipkin,816
Adrian Cole,adriancole,2015-11-06T17:58:53.938Z,openzipkin/zipkin,817
Adrian Cole,adriancole,2015-11-06T19:40:35.346Z,openzipkin/zipkin,807
Prateek Agarwal,prat0318,2015-11-06T19:44:08.960Z,openzipkin/zipkin,785
Prateek Agarwal,prat0318,2015-11-06T22:46:59.920Z,openzipkin/zipkin,818
Adrian Cole,adriancole,2015-11-06T23:50:07.660Z,openzipkin/zipkin,820
Adrian Cole,adriancole,2015-11-07T00:28:36.447Z,openzipkin/zipkin,820
Adrian Cole,adriancole,2015-11-07T21:17:17.903Z,openzipkin/zipkin,821
Adrian Cole,adriancole,2015-11-08T15:14:17.188Z,openzipkin/zipkin,821
Adrian Cole,adriancole,2015-11-08T16:20:11.182Z,openzipkin/zipkin,824
Adrian Cole,adriancole,2015-11-08T22:32:06.780Z,openzipkin/zipkin,825
Jordi Polo Carres,jcarres-mdsol,2015-11-09T07:29:23.464Z,openzipkin/zipkin,826
Adrian Cole,adriancole,2015-11-09T15:28:31.670Z,openzipkin/zipkin,821
Adrian Cole,adriancole,2015-11-09T20:32:30.473Z,openzipkin/zipkin,826
Adrian Cole,adriancole,2015-11-09T21:48:34.236Z,openzipkin/zipkin,830
Adrian Cole,adriancole,2015-11-10T01:11:00.108Z,openzipkin/zipkin,831
Adrian Cole,adriancole,2015-11-10T17:08:58.110Z,openzipkin/zipkin,834
Adrian Cole,adriancole,2015-11-10T17:28:56.452Z,openzipkin/zipkin,833
Adrian Cole,adriancole,2015-11-10T19:11:02.037Z,openzipkin/zipkin,835
Adrian Cole,adriancole,2015-11-10T19:27:53.761Z,openzipkin/zipkin,816
Adrian Cole,adriancole,2015-11-10T19:36:35.483Z,openzipkin/zipkin,836
Adrian Cole,adriancole,2015-11-10T21:10:01.734Z,openzipkin/zipkin,838
Adrian Cole,adriancole,2015-11-10T22:16:59.580Z,openzipkin/zipkin,839
Dariusz Jedrzejczyk,chemicL,2015-11-12T12:28:57.506Z,openzipkin/zipkin,656
Yuri Shkuro,yurishkuro,2015-11-12T18:59:58.199Z,openzipkin/zipkin,844
Adrian Cole,adriancole,2015-11-12T21:59:22.165Z,openzipkin/zipkin,845
Adrian Cole,adriancole,2015-11-13T18:31:51.132Z,openzipkin/zipkin,848
Adrian Cole,adriancole,2015-11-14T19:25:10.170Z,openzipkin/zipkin,850
Adrian Cole,adriancole,2015-11-14T19:54:59.414Z,openzipkin/zipkin,851
Adrian Cole,adriancole,2015-11-15T17:16:56.657Z,openzipkin/zipkin,853
Adrian Cole,adriancole,2015-11-16T16:22:47.911Z,openzipkin/zipkin,857
Adrian Cole,adriancole,2015-11-16T19:38:42.576Z,openzipkin/zipkin,860
Adrian Cole,adriancole,2015-11-16T20:29:15.803Z,openzipkin/zipkin,860
Yuri Shkuro,yurishkuro,2015-11-16T22:06:33.149Z,openzipkin/zipkin,861
Adrian Cole,adriancole,2015-11-17T18:42:20.501Z,openzipkin/zipkin,863
Adrian Cole,adriancole,2015-11-17T18:58:18.031Z,openzipkin/zipkin,760
Adrian Cole,adriancole,2015-11-17T20:14:15.176Z,openzipkin/zipkin,864
Piotr Betkier,pbetkier,2015-11-18T15:15:58.309Z,openzipkin/zipkin,727
Adrian Cole,adriancole,2015-11-20T16:48:09.863Z,openzipkin/zipkin,865
Adrian Cole,adriancole,2015-11-21T00:10:41.000Z,openzipkin/zipkin,866
Dariusz Jedrzejczyk,chemicL,2015-11-24T15:04:54.477Z,openzipkin/zipkin,867
Li Yichao,liyichao,2015-12-02T09:18:51.115Z,openzipkin/zipkin,786
Adrian Cole,adriancole,2015-12-08T07:10:11.809Z,openzipkin/zipkin,876
Adrian Cole,adriancole,2015-12-08T14:17:48.202Z,openzipkin/zipkin,879
Adrian Cole,adriancole,2015-12-15T00:45:49.737Z,openzipkin/zipkin,882
Adrian Cole,adriancole,2015-12-20T23:42:23.668Z,openzipkin/zipkin,846
Adrian Cole,adriancole,2015-12-20T23:42:45.599Z,openzipkin/zipkin,885
Adrian Cole,adriancole,2015-12-21T03:08:06.487Z,openzipkin/zipkin,887
Adrian Cole,adriancole,2015-12-22T01:21:03.410Z,openzipkin/zipkin,846
Adrian Cole,adriancole,2015-12-23T00:06:12.256Z,openzipkin/zipkin,846
Adrian Cole,adriancole,2015-12-28T11:04:10.317Z,openzipkin/zipkin,891
Yuri Shkuro,yurishkuro,2016-01-03T22:10:49.063Z,openzipkin/zipkin,897
Adrian Cole,adriancole,2016-01-04T08:16:08.916Z,openzipkin/zipkin,898
Adrian Cole,adriancole,2016-01-06T02:51:34.903Z,openzipkin/zipkin,901
Adrian Cole,adriancole,2016-01-06T03:52:26.488Z,openzipkin/zipkin,902
Adrian Cole,adriancole,2016-01-07T03:11:24.701Z,openzipkin/zipkin,904
Adrian Cole,adriancole,2016-01-18T10:02:50.712Z,openzipkin/zipkin,906
Prateek Agarwal,prat0318,2016-01-20T01:24:04.573Z,openzipkin/zipkin,907
Adrian Cole,adriancole,2016-01-21T05:02:29.693Z,openzipkin/zipkin,909
Adrian Cole,adriancole,2016-01-26T08:43:41.402Z,openzipkin/zipkin,914
Adrian Cole,adriancole,2016-01-27T17:33:40.611Z,openzipkin/zipkin,922
Adrian Cole,adriancole,2016-01-28T10:56:12.776Z,openzipkin/zipkin,921
Yukinari Toyota,t-yuki,2016-01-28T11:58:55.723Z,openzipkin/zipkin,927
Yuri Shkuro,yurishkuro,2016-01-28T20:52:05.281Z,openzipkin/zipkin,917
Adrian Cole,adriancole,2016-01-29T17:04:08.586Z,openzipkin/zipkin,931
Adrian Cole,adriancole,2016-01-29T17:47:32.725Z,openzipkin/zipkin,929
Adrian Cole,adriancole,2016-01-30T07:41:59.468Z,openzipkin/zipkin,930
Adrian Cole,adriancole,2016-02-01T16:15:27.888Z,openzipkin/zipkin,935
Prateek Agarwal,prat0318,2016-02-01T22:09:06.060Z,openzipkin/zipkin,933
Adrian Cole,adriancole,2016-02-03T15:49:56.020Z,openzipkin/zipkin,937
Yuri Shkuro,yurishkuro,2016-02-05T01:27:22.531Z,openzipkin/zipkin,945
Adrian Cole,adriancole,2016-02-10T02:56:11.876Z,openzipkin/zipkin,949
Adrian Cole,adriancole,2016-02-10T04:35:22.003Z,openzipkin/zipkin,950
Adrian Cole,adriancole,2016-02-10T14:06:32.718Z,openzipkin/zipkin,953
Adrian Cole,adriancole,2016-02-10T15:24:00.121Z,openzipkin/zipkin,954
Adrian Cole,adriancole,2016-02-11T16:07:30.178Z,openzipkin/zipkin,963
Adrian Cole,adriancole,2016-02-15T00:29:53.472Z,openzipkin/zipkin,976
Adrian Cole,adriancole,2016-02-15T08:12:39.212Z,openzipkin/zipkin,979
Yuri Shkuro,yurishkuro,2016-02-15T15:51:02.534Z,openzipkin/zipkin,979
Adrian Cole,adriancole,2016-02-17T14:09:22.364Z,openzipkin/zipkin,987
Adrian Cole,adriancole,2016-02-17T14:16:52.156Z,openzipkin/zipkin,939
Jordi Polo Carres,jcarres-mdsol,2016-02-18T08:25:53.058Z,openzipkin/zipkin,988
Adrian Cole,adriancole,2016-02-19T08:32:25.159Z,openzipkin/zipkin,928
Adrian Cole,adriancole,2016-02-19T09:10:02.027Z,openzipkin/zipkin,989
Adrian Cole,adriancole,2016-02-23T08:14:48.178Z,openzipkin/zipkin,995
Adrian Cole,adriancole,2016-02-23T10:15:36.790Z,openzipkin/zipkin,997
Adrian Cole,adriancole,2016-02-24T00:48:08.612Z,openzipkin/zipkin,995
Adrian Cole,adriancole,2016-02-24T09:49:02.823Z,openzipkin/zipkin,1001
Adrian Cole,adriancole,2016-02-29T08:01:37.703Z,openzipkin/zipkin,1004
Adrian Cole,adriancole,2016-02-29T08:04:00.760Z,openzipkin/zipkin,939
Adrian Cole,adriancole,2016-02-29T08:23:19.050Z,openzipkin/zipkin,928
Adrian Cole,adriancole,2016-03-01T04:58:09.833Z,openzipkin/zipkin,1009
Adrian Cole,adriancole,2016-03-02T01:35:17.330Z,openzipkin/zipkin,1007
Adrian Cole,adriancole,2016-03-02T02:21:39.845Z,openzipkin/zipkin,1011
Adrian Cole,adriancole,2016-03-02T02:25:00.168Z,openzipkin/zipkin,1012
Zoltán Nagy,abesto,2016-03-02T19:29:06.333Z,openzipkin/zipkin,813
Adrian Cole,adriancole,2016-03-08T09:35:33.927Z,openzipkin/zipkin,1016
Adrian Cole,adriancole,2016-03-08T15:16:25.022Z,openzipkin/zipkin,1017
Adrian Cole,adriancole,2016-03-11T08:36:12.721Z,openzipkin/zipkin,1026
Adrian Cole,adriancole,2016-03-11T11:12:24.493Z,openzipkin/zipkin,1027
Adrian Cole,adriancole,2016-03-11T14:15:47.991Z,openzipkin/zipkin,1027
Adrian Cole,adriancole,2016-03-13T11:24:31.754Z,openzipkin/zipkin,1028
Adrian Cole,adriancole,2016-03-14T02:30:12.595Z,openzipkin/zipkin,1030
Zoltán Nagy,abesto,2016-03-14T13:56:52.494Z,openzipkin/zipkin,1033
Adrian Cole,adriancole,2016-03-15T09:36:57.150Z,openzipkin/zipkin,1032
Adrian Cole,adriancole,2016-03-16T13:09:07.206Z,openzipkin/zipkin,1042
Zoltán Nagy,abesto,2016-03-16T14:09:57.265Z,openzipkin/zipkin,1045
Yuri Shkuro,yurishkuro,2016-03-16T16:57:14.795Z,openzipkin/zipkin,960
Zoltán Nagy,abesto,2016-03-17T08:35:14.455Z,openzipkin/zipkin,1050
Adrian Cole,adriancole,2016-03-20T02:59:14.761Z,openzipkin/zipkin,1057
Adrian Cole,adriancole,2016-03-20T06:05:00.523Z,openzipkin/zipkin,1057
Adrian Cole,adriancole,2016-03-21T10:37:35.103Z,openzipkin/zipkin,463
Zoltán Nagy,abesto,2016-03-22T13:08:04.420Z,openzipkin/zipkin,1059
Adrian Cole,adriancole,2016-03-23T03:36:39.860Z,openzipkin/zipkin,1060
Adrian Cole,adriancole,2016-03-23T03:38:44.291Z,openzipkin/zipkin,1061
Adrian Cole,adriancole,2016-03-28T10:08:37.075Z,openzipkin/zipkin,1062
Adrian Cole,adriancole,2016-03-28T14:07:29.068Z,openzipkin/zipkin,1062
Adrian Cole,adriancole,2016-03-28T14:11:41.266Z,openzipkin/zipkin,1001
Adrian Cole,adriancole,2016-03-28T14:29:07.008Z,openzipkin/zipkin,1067
Gennady Feldman,gena01,2016-03-28T14:31:22.154Z,openzipkin/zipkin,1068
Gennady Feldman,gena01,2016-03-28T21:18:30.064Z,openzipkin/zipkin,1068
Adrian Cole,adriancole,2016-03-29T01:56:19.436Z,openzipkin/zipkin,1070
Zoltán Nagy,abesto,2016-03-29T14:26:50.350Z,openzipkin/zipkin,1071
Yuri Shkuro,yurishkuro,2016-03-29T14:29:10.679Z,openzipkin/zipkin,1071
Gennady Feldman,gena01,2016-03-29T15:03:55.419Z,openzipkin/zipkin,1072
Adrian Cole,adriancole,2016-03-30T03:29:43.590Z,openzipkin/zipkin,1071
Adrian Cole,adriancole,2016-03-30T10:30:20.061Z,openzipkin/zipkin,952
Gennady Feldman,gena01,2016-03-30T15:22:03.271Z,openzipkin/zipkin,1073
Gennady Feldman,gena01,2016-03-30T15:22:26.160Z,openzipkin/zipkin,1072
Adrian Cole,adriancole,2016-03-31T02:22:22.249Z,openzipkin/zipkin,1077
Adrian Cole,adriancole,2016-03-31T07:38:20.469Z,openzipkin/zipkin,1072
Adrian Cole,adriancole,2016-03-31T07:54:04.656Z,openzipkin/zipkin,1072
Adrian Cole,adriancole,2016-03-31T14:53:05.269Z,openzipkin/zipkin,1078
Adrian Cole,adriancole,2016-04-01T03:15:57.320Z,openzipkin/zipkin,940
Adrian Cole,adriancole,2016-04-01T03:17:33.984Z,openzipkin/zipkin,952
Adrian Cole,adriancole,2016-04-01T03:52:01.482Z,openzipkin/zipkin,1079
Gennady Feldman,gena01,2016-04-02T00:32:31.745Z,openzipkin/zipkin,1042
Adrian Cole,adriancole,2016-04-02T08:41:00.296Z,openzipkin/zipkin,1082
Prateek Agarwal,prat0318,2016-04-04T18:40:16.372Z,openzipkin/zipkin,1085
Adrian Cole,adriancole,2016-04-07T09:37:45.541Z,openzipkin/zipkin,1046
Adrian Cole,adriancole,2016-04-13T12:55:11.565Z,openzipkin/zipkin,1085
Adrian Cole,adriancole,2016-04-13T13:05:38.787Z,openzipkin/zipkin,1071
Adrian Cole,adriancole,2016-04-14T03:56:30.795Z,openzipkin/zipkin,1089
Adrian Cole,adriancole,2016-04-20T10:15:20.571Z,openzipkin/zipkin,1092
Adrian Cole,adriancole,2016-04-21T01:49:38.241Z,openzipkin/zipkin,1095
Adrian Cole,adriancole,2016-04-25T02:21:55.940Z,openzipkin/zipkin,1098
Adrian Cole,adriancole,2016-04-27T05:02:27.484Z,openzipkin/zipkin,1071
Anuraag Agrawal,anuraaga,2016-04-27T07:26:45.448Z,openzipkin/zipkin,1100
Adrian Cole,adriancole,2016-04-29T09:40:27.585Z,openzipkin/zipkin,1104
Adrian Cole,adriancole,2016-04-29T15:48:51.081Z,openzipkin/zipkin,1105
Adrian Cole,adriancole,2016-04-29T16:06:02.250Z,openzipkin/zipkin,1106
Adrian Cole,adriancole,2016-04-30T11:17:08.896Z,openzipkin/zipkin,1108
Adrian Cole,adriancole,2016-05-10T12:36:25.656Z,openzipkin/zipkin,1071
Adrian Cole,adriancole,2016-05-14T02:35:10.015Z,openzipkin/zipkin,989
Yuri Shkuro,yurishkuro,2016-05-14T04:20:36.472Z,openzipkin/zipkin,989
Adrian Cole,adriancole,2016-05-14T11:24:39.634Z,openzipkin/zipkin,1114
Adrian Cole,adriancole,2016-05-22T02:38:12.853Z,openzipkin/zipkin,1118
